0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
43183;;...;...;PUNCT;SENT;;;ну он ко ...  / э;.;.;.;;;;.;...;SENT;SENT
43184;;;;;;;;;;;;;;;;;;
43185;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43186;;э;Э;INTJ;INTJ;;;...  / э / в эту;э;;;;;;Э;Э;S;- - nonflex nonflex
43187;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43188;;в;В;PR;PR;;;/ э / в эту норку /;в;;;;;;В;В;PR;PR
43189;;эту;ЭТОТ;APRO;f - acc sg;;;э / в эту норку / там;у;т;э;;;;Т;ЭТОТ;A;- acc sg plen f -
43190;;норку;НОРКА;S;f inan acc sg;;;/ в эту норку / там постоянно;у;к;р;о;н;;А;НОРКА;S;f inan acc sg
43191;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43192;;там;ТАМ;ADVPRO;-;;;эту норку / там постоянно хомяк появляется;м;а;т;;;;М;ТАМ;ADV;-
43193;;постоянно;ПОСТОЯННО;ADV;-;;;норку / там постоянно хомяк появляется /;о;н;н;я;о;т;О;ПОСТОЯННО;ADV;-
43194;;хомяк;ХОМЯК;S;m anim nom sg;;;/ там постоянно хомяк появляется / и;к;я;м;о;х;;К;ХОМЯК;S;m anim nom sg
43195;;появляется;ПОЯВЛЯТЬСЯ;V;ipf praes sg indic - 3p;;;там постоянно хомяк появляется / и к...;я;с;т;е;я;л;Я;ПОЯВЛЯТЬСЯ;V;ipf praes sg indic - 3p
43196;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43197;;и;И;CONJ;CONJ;;;хомяк появляется / и к... э /;и;;;;;;И;И;CONJ;CONJ
43198;;к;К;PR;PR;;;появляется / и к... э / кот;.;.;.;к;;;К;К...;PR;PR
43199;;э;Э;INTJ;INTJ;;;/ и к... э / кот на;э;;;;;;Э;Э;S;- - nonflex nonflex
43200;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43201;;кот;КОТ;S;m anim nom sg;;;к... э / кот на него прыгнул;т;о;к;;;;Т;КОТ;S;m anim nom sg
43202;;на;НА;PR;PR;;;э / кот на него прыгнул /;а;н;;;;;А;НА;PR;PR
43203;;него;ОН;SPRO;sg 3p m acc;;;/ кот на него прыгнул / и;о;г;е;н;;;Н;ОН;SPRO;sg 3p m acc
43204;;прыгнул;ПРЫГНУТЬ;V;pf praet sg indic m -;;;кот на него прыгнул / и после;л;у;н;г;ы;р;Ь;ПРЫГНУТЬ;V;pf praet sg indic m -
43205;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43206;;и;И;CONJ;CONJ;;;него прыгнул / и после этого кадр;и;;;;;;И;И;CONJ;CONJ
43207;;после;ПОСЛЕ;PR;PR;;;прыгнул / и после этого кадр обрывается;е;л;с;о;п;;Е;ПОСЛЕ;PR;PR
43208;;этого;ЭТО;SPRO;n - gen sg;;;/ и после этого кадр обрывается и;о;г;о;т;э;;О;ЭТО;S;n - gen sg
43209;;кадр;КАДР;S;m inan nom sg;;;и после этого кадр обрывается и начинается;р;д;а;к;;;Р;КАДР;S;m inan nom sg
43210;;обрывается;ОБРЫВАТЬСЯ;V;ipf praes sg indic - 3p;;;после этого кадр обрывается и начинается следующий;я;с;т;е;а;в;Я;ОБРЫВАТЬСЯ;V;ipf praes sg indic - 3p
43211;;и;И;CONJ;CONJ;;;этого кадр обрывается и начинается следующий супергаджет;и;;;;;;И;И;CONJ;CONJ
43212;;начинается;НАЧИНАТЬСЯ;V;ipf praes sg indic - 3p;;;кадр обрывается и начинается следующий супергаджет //;я;с;т;е;а;н;Я;НАЧИНАТЬСЯ;V;ipf praes sg indic - 3p
43213;;следующий;СЛЕДУЮЩИЙ;A; - nom sg plen m inan;;;обрывается и начинается следующий супергаджет // св...;й;и;щ;ю;у;д;Й;СЛЕДУЮЩИЙ;A;- acc sg plen m inan
43214;;супергаджет;СУПЕРГАДЖЕТ;S;m inan acc sg;;;и начинается следующий супергаджет // св... но;т;е;ж;д;а;г;Т;СУПЕРГАДЖЕТ;S;m inan acc sg
43215;;//;//;PUNCT;_;;;начинается следующий супергаджет // св... но больше;/;/;;;;;/;//;PUNCT;_
43216;;св;СВ;S;m inan gen sg;distinct form;;следующий супергаджет // св... но больше здесь;.;.;.;в;с;;В;СВ...;S;m inan gen sg
43217;;но;НО;CONJ;CONJ;;;супергаджет // св... но больше здесь /;о;н;;;;;О;НО;CONJ;CONJ
43218;;больше;МНОГО;ADV;comp;;;// св... но больше здесь / к;е;ш;ь;л;о;б;О;МНОГО;ADV;comp
43219;;здесь;ЗДЕСЬ;ADV;-;;;св... но больше здесь / к примеру;ь;с;е;д;з;;Ь;ЗДЕСЬ;ADV;-
43220;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43221;;к;К;PR;PR;;;больше здесь / к примеру / хомяк;к;;;;;;К;К;PR;PR
43222;;примеру;ПРИМЕР;S;m inan dat sg;;;здесь / к примеру / хомяк больше;у;р;е;м;и;р;Р;ПРИМЕР;S;m inan dat sg
43223;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43224;;хомяк;ХОМЯК;S;m inan gen sg;;;к примеру / хомяк больше не появится;к;я;м;о;х;;К;ХОМЯК;S;m inan gen sg
43225;;больше;БОЛЬШЕ;ADV;-;;;примеру / хомяк больше не появится //;е;ш;ь;л;о;б;Е;БОЛЬШЕ;ADV;-
43226;;не;НЕ;PART;PART;;;/ хомяк больше не появится // такое;е;н;;;;;Е;НЕ;PART;PART
43227;;появится;ПОЯВИТЬСЯ;V;pf fut sg indic - 3p;;;хомяк больше не появится // такое //;я;с;т;и;в;я;Я;ПОЯВИТЬСЯ;V;pf fut sg indic - 3p
43228;;//;//;PUNCT;_;;;больше не появится // такое // ну;/;/;;;;;/;//;PUNCT;_
43229;;такое;ТАКОЙ;APRO;n - nom sg;;;не появится // такое // ну есть;е;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen n -
43230;;//;//;PUNCT;;;;появится // такое // ну есть же;/;/;;;;;/;//;PUNCT;
43231;;;;;;;;;;;;;;;;;;
43232;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
43233;;ну;НУ;PART;PART;;;// такое // ну есть же типо;у;н;;;;;У;НУ;PART;PART
43234;;есть;БЫТЬ;V;ipf praes sg indic - 3p;;;такое // ну есть же типо ;ь;т;с;е;;;Ь;БЫТЬ;V;ipf praes sg indic - 3p
43235;"<distinct form=""тип"">";;;;;;;;;;;;;;;;;
43236;;же;ЖЕ;PART;PART;;;// ну есть же типо  кормовые;е;ж;;;;;Е;ЖЕ;PART;
43237;;типо;ТИПО;PR;PR;;;ну есть же типо  кормовые мыши;о;п;и;т;;;О;ТИПО;S;m anim nonflex nonflex
43238;</distinct>;;;;;;;;;;;;;;;;;
43239;;кормовые;КОРМОВОЙ;A; - nom pl plen - anim;;;же типо  кормовые мыши // все;е;ы;в;о;м;р;Й;КОРМОВОЙ;A;- acc pl plen - inan
43240;;мыши;МЫШЬ;S;f anim nom pl;;;типо  кормовые мыши // все дела;и;ш;ы;м;;;Ь;МЫШЬ;S;f anim nom pl
43241;;//;//;PUNCT;_;;; кормовые мыши // все дела //;/;/;;;;;/;//;PUNCT;_
43242;;все;ВСЕ;ADV;-;;;кормовые мыши // все дела // о;е;с;в;;;;Е;ВСЕ;ADV;-
43243;;дела;ДЕЛО;S;n inan nom pl;;;мыши // все дела // о /;а;л;е;д;;;О;ДЕЛО;S;n inan nom pl
43244;;//;//;PUNCT;;;;// все дела // о / здесь;/;/;;;;;/;//;PUNCT;
43245;;;;;;;;;;;;;;;;;;
43246;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
43247;;о;О;INTJ;INTJ;;;все дела // о / здесь ;о;;;;;;О;О;INTJ;INTJ
43248;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43249;"<distinct form=""есь"">";;;;;;;;;;;;;;;;;
43250;;здесь;ЗДЕСЬ;ADV;-;;;// о / здесь  этот кот;ь;с;е;д;з;;Ь;ЗДЕСЬ;ADV;-
43251;</distinct>;;;;;;;;;;;;;;;;;
43252;;этот;ЭТОТ;APRO;m - nom sg ;;;/ здесь  этот кот его /;т;о;т;э;;;Т;ЭТОТ;A;- nom sg plen m -
43253;;кот;КОТ;S;m anim nom sg;;;здесь  этот кот его / любимый;т;о;к;;;;Т;КОТ;S;m anim nom sg
43254;;его;ОН;SPRO;sg 3p m acc;;; этот кот его / любимый /;о;г;е;;;;Н;ОН;SPRO;sg 3p m acc
43255;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43256;;любимый;ЛЮБИМЫЙ;A; - nom sg plen m inan ;;;кот его / любимый / я не;й;ы;м;и;б;ю;Й;ЛЮБИМЫЙ;S;m anim nom sg
43257;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43258;;я;Я;SPRO;sg 1p - nom;;;/ любимый / я не помню /;я;;;;;;Я;Я;SPRO;sg 1p - nom
43259;;не;НЕ;PART;PART;;;любимый / я не помню / как;е;н;;;;;Е;НЕ;PART;PART
43260;;помню;ПОМНИТЬ;V;ipf praes sg indic - 1p;;;/ я не помню / как его;ю;н;м;о;п;;Ь;ПОМНИТЬ;V;ipf praes sg indic - 1p
43261;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43262;;как;КАК;CONJ;CONJ;;;не помню / как его зовут //;к;а;к;;;;К;КАК;CONJ;CONJ
43263;;его;ОН;SPRO;sg 3p m acc;;;помню / как его зовут // там;о;г;е;;;;Н;ОН;SPRO;sg 3p m acc
43264;;зовут;ЗВАТЬ;V;ipf praes pl indic - 3p;;;/ как его зовут // там где-то;т;у;в;о;з;;Ь;ЗВАТЬ;V;ipf praes pl indic - 3p
43265;;//;//;PUNCT;_;;;как его зовут // там где-то в;/;/;;;;;/;//;PUNCT;_
43266;;там;ТАМ;ADVPRO;-;;;его зовут // там где-то в названии;м;а;т;;;;М;ТАМ;ADV;-
43267;;где-то;ГДЕ-ТО;ADVPRO;-;;;зовут // там где-то в названии должно;о;т;-;е;д;г;О;ГДЕ-ТО;ADV;-
43268;;в;В;PR;PR;;;// там где-то в названии должно быть;в;;;;;;В;В;PR;PR
43269;;названии;НАЗВАНИЕ;S;n inan loc sg;;;там где-то в названии должно быть //;и;и;н;а;в;з;Е;НАЗВАНИЕ;S;n inan loc sg
43270;;должно;ДОЛЖЕН;A;brev n sg;;;где-то в названии должно быть // так;о;н;ж;л;о;д;Н;ДОЛЖНО;ADV;-
43271;;быть;БЫТЬ;V;ipf - - inf - -;;;в названии должно быть // так -;ь;т;ы;б;;;Ь;БЫТЬ;V;ipf - - inf - -
43272;;//;//;PUNCT;_;;;названии должно быть // так - так;/;/;;;;;/;//;PUNCT;_
43273;;так;ТАК;ADV;-;;;должно быть // так - так -;к;а;т;;;;К;ТАК;ADV;-
43274;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43275;;так;ТАК;ADV;-;;;// так - так - так -;к;а;т;;;;К;ТАК;ADV;-
43276;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43277;;так;ТАК;ADV;-;;;- так - так - так -;к;а;т;;;;К;ТАК;ADV;-
43278;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43279;;так;ТАК;ADV;-;;;- так - так - так -;к;а;т;;;;К;ТАК;ADV;-
43280;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43281;;так;ТАК;ADV;-;;;- так - так - так -;к;а;т;;;;К;ТАК;ADV;-
43282;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43283;;так;ТАК;ADV;-;;;- так - так - так //;к;а;т;;;;К;ТАК;ADV;-
43284;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43285;;так;ТАК;ADV;-;;;- так - так // Куки //;к;а;т;;;;К;ТАК;ADV;-
43286;;//;//;PUNCT;_;;;так - так // Куки // Куки;/;/;;;;;/;//;PUNCT;_
43287;;Куки;КУКИ;S;m zoon anim nom sg;;;- так // Куки // Куки кота;и;к;у;К;;;И;КУК;S;f anim nom sg
43288;;//;//;PUNCT;_;;;так // Куки // Куки кота зовут;/;/;;;;;/;//;PUNCT;_
43289;;Куки;КУКИ;S;m zoon anim nom sg;;;// Куки // Куки кота зовут /;и;к;у;К;;;И;КУК;S;f anim nom sg
43290;;кота;КОТ;S;m anim gen sg;;;Куки // Куки кота зовут / здесь;а;т;о;к;;;Т;КОТ;S;m anim gen sg
43291;;зовут;ЗВАТЬ;V;ipf praes pl indic - 3p;;;// Куки кота зовут / здесь видеокадр;т;у;в;о;з;;Ь;ЗВАТЬ;V;ipf praes pl indic - 3p
43292;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43293;;здесь;ЗДЕСЬ;ADV;-;;;кота зовут / здесь видеокадр / как;ь;с;е;д;з;;Ь;ЗДЕСЬ;ADV;-
43294;;видеокадр;ВИДЕОКАДР;S;m inan nom sg;;;зовут / здесь видеокадр / как он;р;д;а;к;о;е;Р;ВИДЕОКАДР;S;m inan acc sg
43295;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43296;;как;КАК;CONJ;CONJ;;;здесь видеокадр / как он маленький /;к;а;к;;;;К;КАК;CONJ;CONJ
43297;;он;ОН;SPRO;sg 3p m nom;;;видеокадр / как он маленький / был;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43298;;маленький;МАЛЕНЬКИЙ;A;- nom sg plen m -;;;/ как он маленький / был еще;й;и;к;ь;н;е;Й;МАЛЕНЬКИЙ;A;- nom sg plen m -
43299;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43300;;был;БЫТЬ;V;ipf praet sg indic m -;;;он маленький / был еще // забавно;л;ы;б;;;;Ь;БЫТЬ;V;ipf praet sg indic m -
43301;;еще;ЕЩЕ;ADV;-;;;маленький / был еще // забавно /;е;щ;е;;;;Е;ЕЩЕ;ADV;-
43302;;//;//;PUNCT;_;;;/ был еще // забавно / что;/;/;;;;;/;//;PUNCT;_
43303;;забавно;ЗАБАВНО;ADV;-;;;был еще // забавно / что он;о;н;в;а;б;а;О;ЗАБАВНО;ADV;-
43304;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43305;;что;ЧТО;CONJ;CONJ;;;// забавно / что он хранит это;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43306;;он;ОН;SPRO;sg 3p m nom;;;забавно / что он хранит это //;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43307;;хранит;ХРАНИТЬ;V;ipf praes sg indic - 3p;;;/ что он хранит это // он;т;и;н;а;р;х;Ь;ХРАНИТЬ;V;ipf praes sg indic - 3p
43308;;это;ЭТОТ;APRO;n - acc sg ;;;что он хранит это // он к;о;т;э;;;;Т;ЭТОТ;A;- acc sg plen n -
43309;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
43310;;//;//;PUNCT;;;;он хранит это // он к нему;/;/;;;;;/;//;PUNCT;
43311;;он;ОН;SPRO;sg 3p m nom;;;хранит это // он к нему этот;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43312;;к;К;PR;PR;;;это // он к нему этот //;к;;;;;;К;К;PR;PR
43313;;нему;ОН;SPRO;sg 3p m dat;;;// он к нему этот // прикрепил;у;м;е;н;;;Н;ОН;SPRO;sg 3p m dat
43314;;этот;ЭТОТ;APRO;m - acc sg ;;;он к нему этот // прикрепил вот;т;о;т;э;;;Т;ЭТОТ;A;- acc sg plen m inan
43315;;//;//;PUNCT;_;;;к нему этот // прикрепил вот такой;/;/;;;;;/;//;PUNCT;_
43316;;прикрепил;ПРИКРЕПИТЬ;V;pf praet sg indic m -;;;нему этот // прикрепил вот такой /;л;и;п;е;р;к;Ь;ПРИКРЕПИТЬ;V;pf praet sg indic m -
43317;;вот;ВОТ;PART;PART;;;этот // прикрепил вот такой / огромную;т;о;в;;;;Т;ВОТ;PART;PART
43318;;такой;ТАКОЙ;APRO;m - nom sg ;;;// прикрепил вот такой / огромную байду;й;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen m -
43319;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43320;;огромную;ОГРОМНЫЙ;A;- acc sg plen f -;;;вот такой / огромную байду / э;ю;у;н;м;о;р;Й;ОГРОМНЫЙ;A;- acc sg plen f -
43321;;байду;БАЙДА;S;f inan acc sg;;;такой / огромную байду / э /;у;д;й;а;б;;А;БАЙДА;S;f inan acc sg
43322;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43323;;э;Э;INTJ;INTJ;;;огромную байду / э / к шее;э;;;;;;Э;Э;S;- - nonflex nonflex
43324;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43325;;к;К;PR;PR;;;/ э / к шее кота /;к;;;;;;К;К;PR;PR
43326;;шее;ШЕЯ;S;f inan loc sg;;;э / к шее кота / и;е;е;ш;;;;Я;ШЕЯ;S;f inan loc sg
43327;;кота;КОТ;S;m anim gen sg;;;/ к шее кота / и типа;а;т;о;к;;;Т;КОТ;S;m anim gen sg
43328;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43329;;и;И;CONJ;CONJ;;;шее кота / и типа как у;и;;;;;;И;И;CONJ;CONJ
43330;;типа;ТИП;S;m inan gen sg;;;кота / и типа как у у;а;п;и;т;;;П;ТИП;S;m inan gen sg
43331;;как;КАК;CONJ;CONJ;;;/ и типа как у у зэков;к;а;к;;;;К;КАК;CONJ;CONJ
43332;;у;У;PR;PR;;;и типа как у у зэков /;у;;;;;;У;У;PR;PR
43333;;у;У;PR;PR;;;типа как у у зэков / которые;у;;;;;;У;У;PR;PR
43334;;зэков;ЗЭК;S;m anim gen pl;;;как у у зэков / которые на;в;о;к;э;з;;К;ЗЭК;S;m anim gen pl
43335;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43336;;которые;КОТОРЫЙ;A; - - nom pl ;;;у зэков / которые на домашнем аресте;е;ы;р;о;т;о;Й;КОТОРЫЙ;A;- nom pl plen - -
43337;;на;НА;PR;PR;;;зэков / которые на домашнем аресте находятся;а;н;;;;;А;НА;PR;PR
43338;;домашнем;ДОМАШНИЙ;A;- loc sg plen m -;;;/ которые на домашнем аресте находятся /;м;е;н;ш;а;м;Й;ДОМАШНИЙ;A;- loc sg plen m -
43339;;аресте;АРЕСТ;S;m inan loc sg;;;которые на домашнем аресте находятся / у;е;т;с;е;р;а;Т;АРЕСТ;S;m inan loc sg
43340;;находятся;НАХОДИТЬСЯ;V;ipf praes pl indic - 3p;;;на домашнем аресте находятся / у них;я;с;т;я;д;о;Я;НАХОДИТЬСЯ;V;ipf praes pl indic - 3p
43341;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43342;;у;У;PR;PR;;;аресте находятся / у них к ноге;у;;;;;;У;У;PR;PR
43343;;них;ОНИ;SPRO;pl - - loc;;;находятся / у них к ноге крепется;х;и;н;;;;И;ОНИ;SPRO;pl - - loc
43344;;к;К;PR;PR;;;/ у них к ноге крепется /;к;;;;;;К;К;PR;PR
43345;;ноге;НОГА;S;f inan loc sg;;;у них к ноге крепется / чтобы;е;г;о;н;;;А;НОГА;S;f inan loc sg
43346;;крепится;КРЕПИТЬСЯ;V;ipf praes sg indic - 3p;;;них к ноге крепется / чтобы если;я;с;т;е;п;е;Я;КРЕПЕТСЯ;ADV;-
43347;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43348;;чтобы;ЧТОБЫ;CONJ;CONJ;;;ноге крепется / чтобы если что их;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
43349;;если;ЕСЛИ;CONJ;CONJ;;;крепется / чтобы если что их найти;и;л;с;е;;;И;ЕСЛИ;CONJ;CONJ
43350;;что;ЧТО;CONJ;CONJ;;;/ чтобы если что их найти //;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43351;;их;ОНИ;SPRO;pl - - acc;;;чтобы если что их найти // так же;х;и;;;;;И;ОНИ;SPRO;pl - - acc
43352;;найти;НАЙТИ;V;pf - - inf - -;;;если что их найти // так же вот;и;т;й;а;н;;И;НАЙТИ;V;pf - - inf - -
43353;;//;//;PUNCT;_;;;что их найти // так же вот и;/;/;;;;;/;//;PUNCT;_
43354;;так же;так же;ADV;-;;;их найти // так же вот и у;е;ж; ;к;а;т;е;так же;ADV;-
43355;;вот;ВОТ;PART;PART;;;найти // так же вот и у кота;т;о;в;;;;Т;ВОТ;PART;PART
43356;;и;И;CONJ;CONJ;;;// так же вот и у кота он;и;;;;;;И;И;CONJ;CONJ
43357;;у;У;PR;PR;;;так же вот и у кота он прикрепил;у;;;;;;У;У;PR;PR
43358;;кота;КОТ;S;m anim dat sg;;;вот и у кота он прикрепил //;а;т;о;к;;;Т;КОТ;S;m anim acc sg
43359;;он;ОН;SPRO;sg 3p m nom;;;и у кота он прикрепил // просто;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43360;;прикрепил;ПРИКРЕПИТЬ;V;pf praet sg indic m -;;;у кота он прикрепил // просто тупо;л;и;п;е;р;к;Ь;ПРИКРЕПИТЬ;V;pf praet sg indic m -
43361;;//;//;PUNCT;_;;;кота он прикрепил // просто тупо следи;/;/;;;;;/;//;PUNCT;_
43362;;просто;ПРОСТО;PART;PART;;;он прикрепил // просто тупо следи за;о;т;с;о;р;п;О;ПРОСТО;PART;PART
43363;;тупо;ТУПО;ADV;-;;;прикрепил // просто тупо следи за своим;о;п;у;т;;;О;ТУПО;ADV;-
43364;;следи;СЛЕДИТЬ;V;ipf - sg imper - 2p;;;// просто тупо следи за своим животным;и;д;е;л;с;;Ь;СЛЕДИТЬ;V;ipf - sg imper - 2p
43365;;за;ЗА;PR;PR;;;просто тупо следи за своим животным /;а;з;;;;;А;ЗА;PR;PR
43366;;своим;СВОЙ;APRO;m - ins sg ;;;тупо следи за своим животным / зачем;м;и;о;в;с;;Й;СВОЙ;A;- ins sg plen m -
43367;;животным;ЖИВОТНОЕ;S;n anim ins pl;;;следи за своим животным / зачем этот;м;ы;н;т;о;в;Е;ЖИВОТНОЕ;S;n anim dat pl
43368;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43369;;зачем;ЗАЧЕМ;ADV;-;;;своим животным / зачем этот / штуку;м;е;ч;а;з;;М;ЗАЧЕМ;ADV;-
43370;;этот;ЭТОТ;APRO;m - acc sg ;;;животным / зачем этот / штуку //;т;о;т;э;;;Т;ЭТОТ;A;- nom sg plen m -
43371;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43372;;штуку;ШТУКА;S;f inan acc sg;;;зачем этот / штуку // кота из-за;у;к;у;т;ш;;А;ШТУКА;S;f inan acc sg
43373;;//;//;PUNCT;_;;;этот / штуку // кота из-за этого;/;/;;;;;/;//;PUNCT;_
43374;;кота;КОТ;S;m anim acc sg;;;/ штуку // кота из-за этого украдут;а;т;о;к;;;Т;КОТ;S;m anim gen sg
43375;;из-за;ИЗ-ЗА;PR;PR;;;штуку // кота из-за этого украдут тупо;а;з;-;з;и;;А;ИЗ-ЗА;PR;PR
43376;;этого;ЭТО;SPRO;n - gen sg;;;// кота из-за этого украдут тупо чтобы;о;г;о;т;э;;О;ЭТО;S;n - gen sg
43377;;украдут;УКРАСТЬ;V;pf fut pl indic - 3p;;;кота из-за этого украдут тупо чтобы э;т;у;д;а;р;к;Ь;УКРАСТЬ;V;pf fut pl indic - 3p
43378;;тупо;ТУПО;ADV;-;;;из-за этого украдут тупо чтобы э такой;о;п;у;т;;;О;ТУПО;ADV;-
43379;;чтобы;ЧТОБЫ;CONJ;CONJ;;;этого украдут тупо чтобы э такой же;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
43380;;э;Э;INTJ;INTJ;;;украдут тупо чтобы э такой же трекер;э;;;;;;Э;Э;S;f inan nonflex nonflex
43381;;такой;ТАКОЙ;APRO;m - nom sg ;;;тупо чтобы э такой же трекер взять;й;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen m -
43382;;же;ЖЕ;PART;PART;;;чтобы э такой же трекер взять себе;е;ж;;;;;Е;ЖЕ;CONJ;CONJ
43383;;трекер;ТРЕКЕР;S;m inan acc sg;;;э такой же трекер взять себе //;р;е;к;е;р;т;Р;ТРЕКЕР;S;m inan acc sg
43384;;взять;ВЗЯТЬ;V;pf - - inf - -;;;такой же трекер взять себе // м;ь;т;я;з;в;;Ь;ВЗЯТЬ;V;pf - - inf - -
43385;;себе;СЕБЯ;SPRO;- - - loc;;;же трекер взять себе // м /;е;б;е;с;;;Я;СЕБЯ;SPRO;- - - loc
43386;;//;//;PUNCT;_;;;трекер взять себе // м / хомяк;/;/;;;;;/;//;PUNCT;_
43387;;м;М;INTJ;INTJ;;;взять себе // м / хомяк все-таки;м;;;;;;М;М;S;- - nonflex nonflex
43388;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43389;;хомяк;ХОМЯК;S;m anim nom sg;;;// м / хомяк все-таки появился /;к;я;м;о;х;;К;ХОМЯК;S;m anim nom sg
43390;;все-таки;ВСЕ-ТАКИ;PART;PART;;;м / хомяк все-таки появился / он;и;к;а;т;-;е;И;ВСЕ-ТАКИ;PART;PART
43391;;появился;ПОЯВИТЬСЯ;V;pf praet sg indic m -;;;/ хомяк все-таки появился / он живой;я;с;л;и;в;я;Я;ПОЯВИТЬСЯ;V;pf praet sg indic m -
43392;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43393;;он;ОН;SPRO;sg 3p m nom;;;все-таки появился / он живой / я;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43394;;живой;ЖИВОЙ;A;- nom sg plen m -;;;появился / он живой / я рад;й;о;в;и;ж;;Й;ЖИВОЙ;A;- nom sg plen m -
43395;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43396;;я;Я;SPRO;sg 1p - nom;;;он живой / я рад // теперь;я;;;;;;Я;Я;SPRO;sg 1p - nom
43397;;рад;РАД;A;- - sg brev m -;;;живой / я рад // теперь ;д;а;р;;;;Д;РАД;A;- - sg brev m -
43398;;//;//;PUNCT;_;;;/ я рад // теперь  только;/;/;;;;;/;//;PUNCT;_
43399;;теперь;ТЕПЕРЬ;ADV;-;;;я рад // теперь  только ;ь;р;е;п;е;т;Ь;ТЕПЕРЬ;ADV;-
43400;"<distinct form=""тока"">";;;;;;;;;;;;;;;;;
43401;;только;ТОЛЬКО;PART;PART;;;// теперь  только  он правда;о;к;ь;л;о;т;О;ТОЛЬКО;PART;PART
43402;</distinct>;;;;;;;;;;;;;;;;;
43403;;он;ОН;SPRO;sg 3p m nom;;; только  он правда в это;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43404;;правда;ПРАВДА;ADV;-;;;только  он правда в это /;а;д;в;а;р;п;А;ПРАВДА;ADV;-
43405;;в;В;PR;PR;;; он правда в это / в;в;;;;;;В;В;PR;PR
43406;;это;ЭТО;SPRO;n - acc sg;;;он правда в это / в этом;о;т;э;;;;О;ЭТО;S;n - acc sg
43407;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43408;;в;В;PR;PR;;;в это / в этом стеклянном шаре;в;;;;;;В;В;PR;PR
43409;;этом;ЭТОТ;APRO;m - loc sg ;;;это / в этом стеклянном шаре для;м;о;т;э;;;Т;ЭТОТ;A;- loc sg plen m -
43410;;стеклянном;СТЕКЛЯННЫЙ;A;- loc sg plen m -;;;/ в этом стеклянном шаре для хомяков;м;о;н;н;я;л;Й;СТЕКЛЯННЫЙ;A;- loc sg plen m -
43411;;шаре;ШАР;S;m inan loc sg;;;в этом стеклянном шаре для хомяков /;е;р;а;ш;;;Р;ШАР;S;m inan loc sg
